Gene A	Gene B	Interaction Methods
44M2.3	IGBP1	two hybrid
A1BG	ABCC6	two hybrid
A1BG	ANXA7	two hybrid
A1BG	CRISP3	affinity chromatography technology
A1BG	PRDX4	two hybrid
A1BG	SETD7	two hybrid
A1BG	SMN2	two hybrid
A1BG	SNCA	two hybrid
A1BG	TK1	two hybrid
A1CF	APOBEC1	two hybrid
A1CF	CELF2	in vivo
A1CF	HDAC3	affinity chromatography technology
A1CF	KHSRP	biochemical
A1CF	SYNCRIP	in vivo
A1CF	TNPO2	pull down
A2M	ADAM19	in vitro
A2M	ADAMTS1	affinity chromatography technology
A2M	AMBP	affinity chromatography technology
A2M	ANXA6	in vitro
A2M	ANXA7	two hybrid
A2M	APOE	affinity chromatography technology
A2M	APP	two hybrid
A2M	B2M	in vitro
A2M	C11orf58	two hybrid
A2M	CDC42	two hybrid
A2M	CDK2AP2	two hybrid
A2M	CELA1	in vivo
A2M	CPB2	pull down
A2M	CTSB	in vitro
A2M	CTSE	in vitro
A2M	CYP2C18	pull down
A2M	CYP2C8	pull down
A2M	ECSIT	pull down
A2M	ELAVL3	pull down
A2M	EXOSC1	pull down
A2M	FARSA	pull down
A2M	GCDH	pull down
A2M	GEM	two hybrid
A2M	GRB2	two hybrid
A2M	H2AFX	two hybrid
A2M	HSPA5	pull down
A2M	IFIT3	pull down
A2M	IFIT5	pull down
A2M	IL10	pull down
A2M	IL1B	in vivo
A2M	IL4	pull down
A2M	KLK13	pull down
A2M	KLK2	in vitro
A2M	KLK3	in vitro
A2M	LCAT	affinity chromatography technology
A2M	LEP	in vitro
A2M	LONP1	pull down
A2M	LRP1	in vitro
A2M	LYZ	in vitro
A2M	MAST1	pull down
A2M	MGEA5	pull down
A2M	MLST8	pull down
A2M	MMP2	in vitro
A2M	MYOC	two hybrid
A2M	NCDN	pull down
A2M	NGF	pull down
A2M	NOS3	pull down
A2M	NUDT21	two hybrid
A2M	PAEP	pull down
A2M	PAXIP1	pull down
A2M	PDGFA	in vitro
A2M	PDGFB	in vitro
A2M	PRAM1	pull down
A2M	PRDX2	pull down
A2M	RAD23A	pull down
A2M	RAP1B	two hybrid
A2M	RHEB	pull down
A2M	RNF32	pull down
A2M	RPP14	two hybrid
A2M	SEPT8	two hybrid
A2M	SHBG	two hybrid
A2M	SMN2	two hybrid
A2M	SPACA3	molecular sieving
A2M	TGFBI	in vitro
A2M	TGIF1	two hybrid
A2M	TGM2	two hybrid
A2M	TK1	two hybrid
A2M	TNFRSF14	two hybrid
A2M	TRAPPC5	pull down
A2M	TTR	two hybrid
A2M	UFD1L	two hybrid
A2M	UMPS	pull down
A4GALT	A4GALT	fluorescence microscopy
AAAS	ISG15	affinity chromatography technology
AAAS	REL	two hybrid
AAAS	UBC	affinity chromatography technology
AACS	UBC	affinity chromatography technology
AAGAB	EIF3C	two hybrid
AAGAB	ELAVL1	pull down
AAGAB	UBC	affinity chromatography technology
AAGAB	UNC119	two hybrid pooling approach
AAMDC	UBC	affinity chromatography technology
AAMP	C8orf33	two hybrid
AAMP	GABARAPL2	two hybrid
AAMP	MAP1LC3B	two hybrid
AAMP	NELFCD	two hybrid pooling approach
AAMP	TK1	two hybrid
AAMP	UBC	affinity chromatography technology
AANAT	F2	in vitro
AANAT	PRKACA	in vivo
AANAT	YWHAZ	in vivo
AAR2	ARF6	anti bait coimmunoprecipitation
AAR2	CUL3	affinity chromatography technology
AAR2	EAPP	two hybrid pooling approach
AAR2	GJA5	two hybrid pooling approach
AAR2	UBC	affinity chromatography technology
AARS2	MEGF10	two hybrid
AARS2	UBC	affinity chromatography technology
AARS2	YWHAQ	affinity chromatography technology
AARS	EEF1B2	two hybrid
AARS	ETS1	display technology
